food_code,food_name,energy_kcal,protein_g,carb_g,fat_g,fibre_g,freesugar_g,sodium_mg
BFP292,Fricassee of Mushroom,106.663,3.651,8.133,6.633,1.235,2.507,118.982
BFP293,Cauliflower au gratin,145.897,4.454,9.134,10.205,1.443,3.015,164.961
BFP294,Vegetable and cheese pie,126.877,4.029,8.757,8.281,1.912,2.694,117.989
BFP296,Spinach souffle ,150.18,7.358,6.274,10.521,1.436,0.888,244.065
BFP299,Beetroot and egg salad (Chukandar aur ande ka salad),84.915,3.357,3.402,6.454,0.551,1.968,110.124
BFP300,Sour cream potato salad,121.898,2.888,9.053,8.126,1.207,0.835,102.662
BFP301,Tossed green salad,49.878,1.334,3.816,3.237,1.326,1.9,65.088
BFP302,Spring basket salad,160.457,3.363,11.607,11.297,3.091,1.465,26.023
BFP303,Cucumber and yogurt salad (Kheere aur dahi ka salad),36.126,2.091,4.724,0.927,1.662,2.279,141.725
BFP305,Chicken and tomato towers,100.552,6.901,2.364,6.991,1.144,1.206,76.016
BFP306,Jellied sunshine fruit salad,48.865,5.851,4.207,0.848,1.798,2.861,74.202
BFP307,Tomato aspic,50.373,6.874,5.023,0.262,1.584,3.208,98.166
BFP308,Frozen frosty fruit salad (Phalon ka salaad),103.507,1.678,15.608,4.172,0.262,14.383,13.231
BFP310,French dressing,733.769,0.323,3.676,79.649,0.22,3.011,261.134
BFP312,Mayonnaise without eggs,329.054,2.131,3.985,33.84,0.043,3.684,193.584
BFP313,Curd dressing ,78.796,5.586,8.029,2.903,0.22,7.569,204.617
BFP316,Carrot raita (Gajar ka raita),64.784,4.137,7.185,2.185,1.687,5.993,274.465
BFP318,Pumpkin raita (Kaddu ka raita),55.602,3.735,6.018,1.884,1.041,5.475,129.141
BFP320,Mint and peanut raita (Pudinay aur moongfali ka raita),112.047,7.046,7.311,6.192,1.79,6.171,223.009
BFP321,Spinach raita (Palak ka raita),52.755,3.948,5.059,1.858,1.391,3.968,126.572
BFP322,Bathua raita,54.401,4.126,5.31,1.76,2.193,4.106,110.92
BFP325,Pineapple raita (Ananas ka raita),67.742,3.898,8.622,2.022,1.389,8.117,135.484
BFP326,Banana raita (Kele ka raita),89.033,4.128,13.51,2.072,0.996,10.112,135.428
BFP327,Mango raita (Aam ka raita),67.366,3.904,8.231,2.145,0.892,7.868,135.456
BFP328,Guava raita (Amarood ka raita),64.356,4.188,7.271,2.072,3.004,6.713,135.938
BFP329,Grapes raita (Angoor ka raita),72.594,3.975,9.657,2.067,0.709,8.509,135.635
BFP334,Bottle gourd kheer (Ghiya/Lauki kheer),84.073,2.701,10.002,3.857,0.546,9.63,19.615
BFP336,Pumpkin kheer (Kaddu ki kheer),86.35,2.759,10.435,3.862,0.629,10.118,20.988
BFP338,Apple kheer (Seb ki kheer),81.295,2.137,11.345,3.18,0.51,10.705,15.856
BFP345,Caramel custard (baked),122.696,5.113,14.955,5.009,0.0,14.922,44.783
BFP346,Vanilla ice cream without egg,228.673,2.688,14.205,18.146,0.0,13.451,23.965
BFP347,Vanilla ice cream with egg,214.85,4.164,11.708,17.024,0.0,11.687,37.724
BFP348,Strawberry ice cream,215.606,4.151,12.257,16.959,0.0,11.604,37.619
BFP350,Chocochip ice cream,241.446,4.226,16.755,17.928,0.0,16.08,34.844
BFP351,Choconut ice cream,273.956,5.041,23.127,18.491,0.507,21.02,29.832
BFP352,Pear chocholate sunday,183.487,2.084,15.015,13.111,0.074,14.406,16.261
BFP353,Chocolate sauce,263.2,1.91,43.21,10.39,0.0,42.06,2.8
BFP354,Coffee ice cream,150.62,3.147,14.09,9.43,0.0,13.348,42.086
BFP355,Coffee pear alaska,203.989,2.883,19.363,13.215,0.152,16.883,51.105
BFP356,Crunchy butterscotch,277.319,3.113,19.922,20.994,0.469,17.726,22.242
BFP358,Peach melba ice cream,200.846,2.057,16.307,14.506,0.063,13.351,17.918
BFP359,Vanilla ice cream with apples in hot cherry sauce,196.319,1.735,22.751,11.454,0.258,14.19,31.535
BFP361,Grape and orange whip,57.391,1.414,6.717,2.622,0.967,5.662,14.361
BFP362,Honey banana cream,125.489,2.775,13.637,6.675,0.7,10.511,15.65
BFP363,Raspberry bavarian cream,150.105,3.343,17.821,7.876,2.194,15.296,24.586
BFP364,Fruit delight,107.092,2.085,9.109,7.092,0.093,9.032,17.273
BFP365,Creamy chocolate mousse,230.522,6.851,9.527,18.158,0.0,8.987,48.636
BFP366,Cold lemon souffle,169.865,5.894,15.625,9.781,0.0,13.878,46.351
BFP367,Cold orange souffle,173.19,5.939,16.273,9.825,0.114,14.424,46.534
BFP368,Cold pineapple souffle,181.218,6.23,16.849,10.387,0.0,14.991,49.382
BFP369,Cold vanilla souffle,179.539,6.216,16.289,10.317,0.0,14.491,49.093
BFP370,Cold chocolate souffle,187.528,6.368,17.216,10.863,0.0,15.31,47.765
BFP371,Stewed fruit (with pear),74.324,0.25,18.22,0.32,2.838,17.675,1.703
BFP372,Apricot fool,240.793,1.537,33.641,11.346,0.998,21.288,8.278
BFP373,Pavlova,200.596,1.845,21.844,12.289,0.059,20.368,26.341
BFP379,Apple crumb pudding,220.851,1.54,35.167,8.872,1.327,27.695,59.361
BFP380,Steamed cake with chocolate sauce,301.908,4.491,29.064,19.014,0.29,19.725,100.321
BFP382,Hot lemon souffle,155.25,5.288,16.311,7.934,0.136,12.07,47.754
BFP386,Gulab jamun with milk powder,471.154,0.853,28.242,40.151,0.046,27.041,67.283
BFP388,Chum chum,130.054,1.517,28.27,1.917,0.015,27.842,16.652
BFP389,Dil bahar,130.054,1.517,28.27,1.917,0.015,27.842,16.652
BFP390,Rasbhari,130.054,1.517,28.27,1.917,0.015,27.842,16.652
BFP391,Rajbogh,133.698,1.711,28.159,2.278,0.11,27.664,16.565
BFP392,Rasgulla,118.637,1.384,25.788,1.749,0.014,25.398,15.19
BFP393,Rasmalai,135.549,1.613,29.171,2.108,0.072,28.709,16.455
BFP396,Khoa coconut burfi,411.454,9.978,36.549,26.008,4.065,35.596,31.142
BFP397,Danedar burfi,102.678,3.243,12.326,4.72,0.089,11.983,23.306
BFP401,Semolina burfi (Suji/Rava burfi),348.671,3.467,47.099,16.864,2.8,28.67,8.326
BFP403,Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),186.179,1.752,17.024,12.656,4.286,16.112,8.946
BFP404,Khoa ladoo,396.015,12.206,34.432,24.094,3.081,33.366,31.711
BFP406,Wheat and gram flour ladoo (Atta besan ladoo),501.7,9.38,50.496,29.855,6.008,18.458,27.058
BFP407,Semolina ladoo with nuts (Suji/Rava ladoo with nuts),441.845,5.441,48.025,25.45,4.275,19.791,3.93
BFP412,Sesame chickpeas brittle (Til aur channe ki chikki),282.737,8.5,50.495,4.661,5.542,36.479,17.931
BFP413,Murmura chikki,253.818,2.124,59.594,0.323,0.366,48.274,15.03
BFP415,Masala onion pakora/pakoda (Pyaaz ke pakode),551.643,2.045,6.481,57.608,1.442,1.578,99.219
BFP416,Masala green chilli pakora/pakoda (Hari mirch kay pakode),668.759,2.222,5.548,71.015,1.341,0.272,120.902
BFP420,Chicken pakora/pakoda,590.093,6.031,4.552,60.975,0.956,0.219,103.233
BFP421,Fish pakora/pakoda,577.025,5.973,4.552,59.522,0.956,0.219,112.244
BFP424,Paneer cutlet,672.196,4.588,7.616,69.376,0.392,2.521,91.445
BFP425,Sago cutlet/vadas (Sabudana cutlet/vadas),558.755,0.564,11.226,56.97,0.536,0.104,48.169
BFP427,Poshtik cutlet,496.45,2.004,7.388,50.941,1.345,0.318,57.107
BFP428,Egg cutlet (Anda cutlet),575.022,2.448,5.77,60.248,0.578,0.203,79.399
BFP430,Minced meat cutlet,531.856,5.099,5.606,54.467,0.397,0.315,95.807
BFP431,Vegetable samosa,443.107,2.207,13.22,42.223,1.523,0.743,107.696
BFP436,Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),745.499,4.385,9.699,76.315,2.269,0.16,65.873
BFP437,Masala urad dal vada,703.779,4.322,9.931,71.617,2.711,0.704,61.492
BFP439,Khaman (dhokla),54.727,1.925,5.355,2.798,1.492,1.362,124.101
BFP440,Instant dhokla,207.112,7.665,24.111,9.373,3.57,6.862,763.975
BFP442,Tomato ginger chutney (Tamatar adarak ki chutney),44.657,1.05,9.112,0.322,2.137,6.306,209.423
BFP443,Mint tomato chutney (Pudinay aur tamatar ki chutney),43.651,1.527,8.223,0.365,2.633,5.483,183.981
BFP444,Coriander chutney (Hare dhaniye ki chutney),42.862,1.376,8.163,0.372,2.47,5.495,186.641
BFP445,Gooseberry chutney (Amla chutney),43.016,1.436,8.835,0.62,4.583,0.064,215.091
BFP446,Walnut chutney (Akhrot ki chutney),370.431,9.439,8.906,33.463,3.045,4.399,159.998
BFP447,Saunth/Sonth chutney with ginger,84.215,0.281,20.62,0.106,0.313,19.037,222.529
BFP448,Gun powder chutney,312.338,21.553,47.649,2.672,13.95,1.155,195.674
BFP450,Dessicated coconut chutney (Sookhe kase nariyal ki chutney) ,346.363,12.884,36.724,15.88,13.16,10.414,321.066
BFP451,Curd mint dip ,76.133,4.822,9.111,2.439,0.769,7.829,222.766
BFP452,Curd vegetable dip,56.207,3.882,6.036,1.943,0.625,5.416,132.481
BFP453,Mayonnaise vegetable dip,241.269,3.012,4.797,23.443,0.406,4.394,119.581
BFP455,Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),150.678,4.03,20.505,6.311,2.103,1.789,222.215
BFP456,Tomato sandwich (grilled),189.924,6.255,21.285,9.388,1.91,2.585,420.601
BFP457,French sandwich (toasted),186.749,6.819,14.818,11.506,1.366,1.818,274.675
